Product,Category,Price (KES),Stock,Description
Wooden Alphabet Blocks,Stacking & Building,850,30,Classic wooden blocks with letters and numbers
Rainbow Stacking Rings,Stacking & Building,1200,25,Colourful rings in graduated sizes
Shape Sorter Cube,Shape & Color,950,20,Cube with 6 shape holes and matching pieces
Montessori Peg Board,Fine Motor,750,35,Wooden board with coloured pegs
Lacing Beads Set,Fine Motor,650,40,Large wooden beads with lacing cord
Animal Puzzle Board,Puzzles,900,28,10-piece wooden animal puzzle with knobs
African Map Puzzle,Puzzles,1100,15,Wooden map of Africa with country pieces
Counting Bears Set,Math & Sorting,1400,18,60 coloured bears with sorting cups
Pattern Blocks Set,Math & Sorting,1300,22,Geometric wooden blocks for pattern making
Sensory Sand Kit,Sensory Play,1800,12,Kinetic sand with moulds and tools
Water Beads Set,Sensory Play,600,45,Reusable water beads in assorted colours
Wooden Kitchen Set,Pretend Play,3500,8,Mini wooden kitchen with accessories
Doctor Kit,Pretend Play,1600,14,Wooden doctor tools in carry case
Emotion Flashcards,Learning Cards,700,50,Illustrated cards for social-emotional learning
Bilingual Story Cards,Learning Cards,850,30,Swahili-English illustrated story sequence cards
Musical Egg Shakers,Music & Rhythm,950,25,Set of 6 wooden egg shakers
Xylophone,Music & Rhythm,1250,20,8-key wooden xylophone with mallets
